miou,sen,acc
0.3799232796199921,0.7869268018118742,0.6852517540622595
0.5136984181546864,0.4455232851816174,0.9123090676880734
miou,sen,acc
0.3799232796199921,0.7869268018118742,0.6852517540622595
0.5136984181546864,0.4455232851816174,0.9123090676880734
miou,sen,acc
0.3799232796199921,0.7869268018118742,0.6852517540622595
0.5136984181546864,0.4455232851816174,0.9123090676880734
miou,sen,acc
0.3799232796199921,0.7869268018118742,0.6852517540622595
0.5136984181546864,0.4455232851816174,0.9123090676880734
miou,sen,acc
0.3799232796199921,0.7869268018118742,0.6852517540622595
0.5136984181546864,0.4455232851816174,0.9123090676880734
