epoch,rne,50-50 rne,mov_rne,stat_rne,sas,ras,epe,timestamp,sw-version
0,0.27430106,nan,0,nan,0.987887392,0.999244019,0.646848255,2024-04-28-01-55-31,
1,0.274265424,nan,0,nan,0.988686281,0.999258644,0.646811639,2024-04-28-02-35-45,
2,0.069109856,nan,0,nan,0.999852005,0.999999433,0.163639923,2024-04-28-03-22-31,
3,0.0767612,nan,0,nan,0.999687119,0.999961415,0.181778015,2024-04-28-04-09-33,
4,0.075064217,nan,0,nan,0.999719681,0.999980561,0.177718465,2024-04-28-05-03-30,
5,0.07688156,nan,0,nan,0.999503867,0.999947908,0.18192919,2024-04-28-05-52-13,
6,0.073912238,nan,0,nan,0.999712853,0.999989021,0.17495786,2024-04-28-14-38-43,
7,0.077106026,nan,0,nan,0.999619104,0.99997556,0.182574756,2024-04-28-15-33-12,
8,0.079084156,nan,0,nan,0.999744015,0.999996446,0.187203596,2024-04-28-16-30-44,
9,0.078356706,nan,0,nan,0.999733406,0.999993125,0.185565689,2024-04-28-17-31-47,
0,0.27307151,nan,0,nan,0.989015309,0.999332333,0.643891671,2024-04-28-19-54-26,
1,0.067203435,nan,0,nan,0.999860354,0.99999417,0.159117381,2024-04-28-20-43-01,
0,0.2739190122347858,nan,0.0,nan,0.9881738008955642,0.9993043428030256,0.6459515509581132,2024-04-28-23-36-31,1.0.2
1,0.0681921866980294,nan,0.0,nan,0.9997917368758049,0.9999958000109447,0.1614274000071331,2024-04-29-00-38-13,1.0.2
0,0.27415220200438534,nan,0.0,nan,0.9875975974299666,0.9991768931320385,0.6465075285601933,2024-04-29-22-01-29,1.0.3
1,0.2734148176700158,nan,0.0,nan,0.9882765392581715,0.9993269619636562,0.6447542167510127,2024-04-29-22-43-13,1.0.3
2,0.27448287960929574,nan,0.0,nan,0.9886037360884011,0.9993049645680603,0.6472536614272978,2024-04-29-23-24-50,1.0.3
3,0.2741067929764108,nan,0.0,nan,0.9887091783580857,0.9993379606950848,0.6463589090589664,2024-04-30-00-08-27,1.0.3
4,0.27565848757428,nan,0.0,nan,0.9883472216966328,0.9992936014908682,0.6499610441932752,2024-04-30-00-49-59,1.0.3
5,0.27668332394445516,nan,0.0,nan,0.9871370601640456,0.999172396426068,0.6522999890315213,2024-04-30-01-29-36,1.0.3
6,0.27513020160796653,nan,0.0,nan,0.987829827583037,0.9992443641718345,0.6487140217370446,2024-04-30-02-10-06,1.0.3
7,0.2756754927497989,nan,0.0,nan,0.9884141889721247,0.9992770739035745,0.6500250041047136,2024-04-30-02-49-19,1.0.3
